Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Submitted via,Date sent to company,Company response to consumer,Timely response?,Complaint ID
2026-06-30T20:45:22.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,None,,None,"Paypal Holdings, Inc",GA,30253,None,Web,2026-06-30T21:19:15.000Z,Closed with non-monetary relief,Yes,23728414
2026-06-30T21:19:06.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,None,,None,"Paypal Holdings, Inc",NV,89451,Older American,Postal mail,2026-06-30T21:27:46.000Z,Closed with explanation,Yes,23728803
2026-06-30T21:53:57.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,None,,None,"Block, Inc.",CA,90503,None,Web,2026-06-30T22:03:39.000Z,Closed with explanation,Yes,23730455
2026-06-30T22:29:13.000Z,Checking or savings account,Checking account,Opening an account,Account opened without my consent or knowledge,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,CA,95603,None,Web,2026-06-30T22:42:40.000Z,Closed with explanation,Yes,23731856
2026-06-30T22:43:37.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,None,,None,"Block, Inc.",MD,21117,None,Web,2026-06-30T22:54:40.000Z,Closed with explanation,Yes,23732105
2026-07-01T01:13:34.000Z,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,None,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,MN,55125,"Older American, Servicemember",Web,2026-07-01T01:31:05.000Z,Closed with explanation,Yes,23736689
2026-07-01T14:02:44.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,None,,None,Chime Financial Inc,PA,15132,None,Phone,2026-07-01T14:31:17.000Z,Closed with explanation,Yes,23751559
2026-07-01T17:24:08.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,None,,None,"Paypal Holdings, Inc",NY,10009,None,Web,2026-07-01T18:04:16.000Z,Closed with explanation,Yes,23761599
2026-07-01T22:15:34.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,None,,None,"Block, Inc.",VA,236XX,Servicemember,Web,2026-07-01T22:26:16.000Z,In progress,Yes,23773959
2026-07-01T23:56:46.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,None,,None,"Block, Inc.",CA,95828,Servicemember,Web,2026-07-02T00:09:32.000Z,In progress,Yes,23777311
2026-06-10T18:22:37.000Z,"Money transfer, virtual currency, or money service",Virtual currency,Fraud or scam,None,,None,"Paypal Holdings, Inc",DE,19968,None,Web,2026-06-10T18:29:15.000Z,Closed with non-monetary relief,Yes,23080239
2026-06-12T19:17:17.000Z,"Money transfer, virtual currency, or money service","Money order, traveler's check or cashier's check",Fraud or scam,None,"I am submitting this complaint regarding Bank of America 's handling of two fraudulently altered cashier 's checks totaling {$17000.00}. 

On XX/XX/year>, I purchased two cashier 's checks from Bank of America, located at XXXX XXXX XXXX XXXX XXXX, XXXX XXXX, Arkansas. 

Cashier 's Check # 1 : * Check Number : XXXX XXXX  Sequence Number : XXXXXXXX XXXX  Amount : {$10000.00} XXXX  Payable To : XXXX XXXX and XXXX  XXXX Cashier 's Check # 2 : * Check Number : XXXXXXXX XXXX Sequence Number : XXXX XXXX Amount : {$6800.00} XXXX  Payable To : XXXX XXXX XXXX XXXX  Immediately after receiving the checks, I verified that the payee names were correct and took the checks directly to the XXXX XXXX XXXX XXXX for mailing to my doctor 's office in XXXX, Texas. 

The intended recipients never received either check. 

In XX/XX/year>, after learning the doctor 's office had not received payment, I returned to the Bank of America branch and requested that the cashier 's checks be cancelled. I was informed that Bank of America required me to wait 90 days before any action could be taken regarding the checks. During this time, I also contacted Bank of America 's claims department to determine whether the checks had been negotiated. However, because I did not have the sequence numbers available during that call, they were unable to provide that information. 

On XX/XX/year>, after the 90-day waiting period, I returned to the branch to cancel the cashier 's checks. XXXX XXXX, Assistant Manager at the branch, informed me that both checks had already been negotiated. 

XXXX XXXX provided me with scanned copies of the checks. The copies showed that the original payee names had been altered and replaced with "" XXXX XXXX XXXX. '' The copies further showed that both checks were deposited via Mobile Deposit with XXXX XXXX on XX/XX/year>. 

I immediately filed a fraud claim with Bank of America on XX/XX/year>. 

Bank of America subsequently denied my claim. The denial letter stated that the transaction was authorized because my ATM/debit card, PIN, and identification were used. However, I have never disputed purchasing the cashier 's checks. I personally authorized the purchase of the cashier 's checks on XX/XX/year>. 

My fraud claim concerns the subsequent theft, alteration, and negotiation of those cashier 's checks after they left my possession and while in transit through the mail. The issue is not whether I authorized the purchase of the cashier 's checks. The issue is that the checks were allegedly altered from the original payees, XXXX XXXX XXXX XXXX XXXXXXXX and XXXX XXXX XXXX XXXX, to an unrelated individual named XXXX XXXX XXXX and were subsequently negotiated. 

Bank of America 's denial does not appear to address the substance of my fraud claim regarding the altered payees and fraudulent negotiation of the cashier 's checks. Instead, the denial appears to address whether I authorized the original purchase of the checks, which has never been disputed. 

I have copies of the cashier 's check information, the negotiated check images, and Bank of America 's denial letter and can provide those documents upon request.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",AR,72118,None,Web,2026-06-12T19:37:22.000Z,Closed with explanation,Yes,23165167
2026-06-18T17:54:41.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,None,,None,"Block, Inc.",CA,95945,None,Phone,2026-06-20T00:18:45.000Z,Closed with explanation,Yes,23349641
2026-06-19T17:50:06.000Z,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,None,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MA,02035,None,Web,2026-06-19T18:09:05.000Z,Closed with explanation,Yes,23388771
2026-06-02T09:02:54.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,None,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,CA,94509,None,Referral,2026-06-03T15:28:42.000Z,Closed with explanation,Yes,22849052
2026-06-21T05:52:56.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,None,In XXXX my identity was stolen and cash app was used 100s of times and I tried disputing and telling them and they banned me,None,"Block, Inc.",OK,737XX,None,Web,2026-06-21T05:57:00.000Z,Closed with explanation,Yes,23424540
2026-06-26T21:20:04.000Z,Checking or savings account,Checking account,Opening an account,Account opened without my consent or knowledge,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,CA,94110,None,Web,2026-06-26T21:30:14.000Z,Closed with explanation,Yes,23621229
2026-06-07T09:03:52.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,None,"I did not authorize a transfer of on XX/XX/year>. About {$2000.00} in bitcoins and {$480.00} in cash. Cash App conducted an investigation Case # XXXX and incorrectly concluded that I released the funds myself. I have never seen or approved this transaction. Their investigation was inadequate. I am requesting the full transaction details, proof of my authorization, and a refund of the unauthorized amount. Please see attached screenshots of their responses and my communications.",None,"Block, Inc.",WA,98059,None,Web,2026-06-07T09:36:26.000Z,Closed with explanation,Yes,22971305
2026-06-19T20:19:07.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,None,,Company believes it acted appropriately as authorized by contract or law,NAVY FEDERAL CREDIT UNION,TX,76247,None,Web,2026-06-19T21:57:05.000Z,Closed with explanation,Yes,23398434
2026-06-08T00:12:58.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,None,"Case ID # XXXX UNAUTHORIZED ELECTRONIC TRANSFERS I am submitting this complaint regarding unauthorized access to my PayPal account and PayPals subsequent mishandling of my fraud claim and investigation. 

After losing possession of my cellular phone and laptop while in a hospital waiting area, unknown individual ( s ) gained unauthorized access to my PayPal account through what appears to have been a coordinated identity theft and account takeover incident. Once access was obtained, several fraudulent and unauthorized transactions were initiated from my PayPal account without my knowledge, authorization, or consent. 

I immediately notified PayPal of the unauthorized activity and submitted supporting documentation regarding the identity theft incident. PayPal initially issued provisional credit ; however, the provisional credit was later reversed following PayPals internal investigation. 

Since that time, I have repeatedly requested copies of all documentation, records, electronic logs, investigative findings, device/IP information, and evidence relied upon by PayPal in reaching its determination to deny my fraud claim and reverse the provisional credit. Despite sending approximately XXXX ( XXXX ) signed certified letters, multiple emails, and placing numerous telephone calls to PayPal customer service representatives, PayPal has ignored my requests and failed to provide any meaningful response or investigative documentation whatsoever. 

To date, PayPal has refused to disclose the evidentiary basis supporting its determination, leaving me unable to meaningfully challenge the decision or verify whether a reasonable investigation was conducted. 

I respectfully request that the CFPB investigate PayPals handling of this matter, including its failure to adequately respond to repeated written requests for investigative documentation and its denial of reimbursement for unauthorized electronic transactions associated with this identity theft incident.",None,"Paypal Holdings, Inc",MD,212XX,None,Web,2026-06-08T00:32:33.000Z,Closed with explanation,Yes,22977361
